#erel:= 0.800;
#emax:= 958.446;
#q:= 0.000;
#nesce:=    46;
#etime:= 1.147;
#snodes:=   970;
param nS:=   100;
param nSG:=    30;
param nRVSG :=
 1 24    4 24    7  2   10  2   13  2   16  2   19  2   22  2   25  2   28  2
 2 24    5  2    8  2   11  2   14  2   17  2   20  2   23  2   26  2   29  2
 3 24    6  2    9  2   12  2   15 12   18  2   21  2   24  2   27  2   30 24
;

param ScenF :=
  1 123.681        46   0            91  96.0453      136   0.6888
  2 137.147        47   0            92 118.688       137   0
  3 112.225        48   0            93 119.798       138   0.5807
  4  88.5894       49 116.385        94 118.964       139   0.060015
  5 102.835        50 132.559        95  69.2678      140   0.4119
  6  91.9677       51 125.357        96  59.276       141   0.196396
  7  92.6196       52 127.416        97   0.343843    142   0.195
  8 101.92         53 132.926        98   0           143   0.266903
  9 106.909        54 116.056        99   0.350897    144   0.0052
 10 129.13         55 101.029       100   0           145   0.212545
 11 156.846        56 111.435       101   0.400262    146   0
 12 178.242        57 102.83        102   0           147   0.0284833
 13 162.374        58 126.908       103   0.417018    148   0
 14 143.134        59 146.518       104   0           149   0
 15 133.693        60 134.597       105   0.383227    150   0
 16 141.331        61 137.398       106   0           151   0
 17 154.332        62 153.764       107   0.334996    152   0
 18 165.765        63 158.275       108   0           153   0
 19 149.888        64 149.94        109   0.310847    154   0
 20 138.003        65 182.793       110   0.0183      155   0
 21 125.092        66 195.461       111   0.29125     156   0
 22 134.372        67 185.344       112   0.1908      157   1.43019
 23 149.031        68 200.519       113   0.218188    158   4.89997
 24 141.398        69 223.258       114   0.4321      159   5.72998
 25  21.7547       70 230.199       115   0.183752    160   0
 26  37.3368       71 171.415       116   0.5211      161   5.15836
 27  30.4597       72 150.281       117  84.0878      162  11.6428
 28  36.6143       73  16.8413      118 102.16        163   2.75354
 29  31.9279       74  49.6878      119 100.341       164   0
 30  26.5567       75  35.0281      120 104.199       165   0.143526
 31   0            76  57.1151      121 103.492       166  22.6538
 32   0            77  90.0245      122 116.419       167 412.73
 33  60.4009       78  80.8257      123 128.653       168  42.2092
 34  95.5702       79  45.2266      124 140.225       169   0
 35   0            80  84.0382      125 175.214       170   0
 36   0            81 126.483       126 196.087       171 220.798
 37   0            82 131.329       127 138.486       172   0
 38   0            83 179.92        128 122.815       173   0
 39   0            84 218.675       129   0.11753     174   0
 40   0            85 220.041       130   0.5707      175   0
 41   0            86 206.948       131   0           176   9.28525
 42   0            87 199.924       132   0.6895      177   1.59834
 43   0            88 191.902       133   0           178   1.94971
 44   0            89 175.465       134   0.7418      179   2.22007
 45   0            90 123.778       135   0           180   2.74809
;

param ScenO :=
  1 111.03        46  24.72        91  82.44       136   0.672
  2  99           47  30.88        92 100.8        137   0.021
  3  92           48  54.48        93 103.58       138   0.523
  4  88.71        49  99.19        94  88          139   0.076
  5  84.72        50  90           95  80          140   0.274
  6  81.37        51  89.68        96  79          141   0.172
  7  99.95        52  87           97   0.398      142   0.15
  8 140.41        53  79.72        98   0          143   0.311
  9 155.49        54  77.98        99   0.399      144   0.005
 10 110.01        55  94.95       100   0          145   0.38
 11  90           56 137.41       101   0.416      146   0
 12  79.9         57 156.22       102   0          147   0.372
